brand,model,link,date,price,title,subtitle,f1,f2,f3,year,hp,range,kp,dtp,fuel,location,desc
vw,golf,https://auto.ria.com/uk/auto_volkswagen_golf_37612583.html,2024-12-16-14-09,6850, volkswagen golf 2008, v покоління/typ 1k, v покоління/typ 1k,,,2008,-1,325,1,0,0,Рівне,"volkswagen golf 5 2.0 дизель, 125 kw.комплектація gt sport.офіційно куплена в салоні в україні в 2008 році.є все для комфортної їзди.мотор працює ідеально, вся екологія на місці, нічого не вирізали і не перешивали.сажевий фільтр на місці.коробка перемикає чітко.ходова частина без посторонніх звуків все на відмінно, не грюкає не стукає.по електриці все працює, ніяких чеків, помилок немає. кожна кнопочка працює.кондиціонер заправлений.всі вікна, включаючи лобове рідні без сколів і тріщин.стоїть нова резина зимова.оригінальний пробіг 100%.сервісна книга присутня.2 оригінальні ключі.автомобіль повністю обслужений.вкладень ніяких на даний момент не потребує.хто шукає дійсно хорошого гольфа, запрошую на тест-драйв і огляд.торг біля автомобіля.телефонуйте, запитуйте що вас цікавить, відповім на всі ваші запитання стосовно машини по телефону."
,,,,,,,,,,,,,,,,,
vw,golf,https://auto.ria.com/uk/auto_volkswagen_golf_37612552.html,2024-12-16-14-09,4700, volkswagen golf 2002, iv покоління/typ 1j, iv покоління/typ 1j,,,2002,-1,260,0,0,1,Вільнянськ • Запорізька обл.,"машина каждый день находится в использовании, есть мелкие косяки по кузову, салон на 4, ходовая в норме, двигатель и коробка без претензий, только переоформление."
,,,,,,,,,,,,,,,,,
vw,golf,https://auto.ria.com/uk/auto_volkswagen_golf_37458029.html,2024-12-16-14-09,5900, volkswagen golf 2006, v покоління/typ 1k, v покоління/typ 1k,,,2006,-1,199,0,0,1,"Кривий Ріг, ул. Льотчиків 22","aвтомобіль у гарному стані, обслугований-вкладень не вимагає. реальному покупцеві можливий торг. можливий обмін авто з нашою або вашою доплатою."
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_37409005.html,2024-12-16-14-09,7950, volkswagen jetta 2014, vi покоління (fl) • 2.0 мт (115 к.с.), vi покоління (fl) , 2.0 мт (115 к.с.),,2014,115,310,0,1,1,Тернопіль,звязок тільки через вайбер або вацап
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_37612298.html,2024-12-16-14-09,14000, volkswagen jetta 2018, vii покоління, vii покоління,,,2018,-1,111,1,1,1,Охтирка • Сумська обл.,"автомобіль в гарному стані, пригнана з канади з мінімальним ушкодженням, була на ходу. ( безпека ціла, подушки не стріляні) двигун і коробка працюють добре і без проблем, ходова частина, підвіска в доброму стані, салони як новий , не затертий і охайний, в машині працює все. рідний пробіг, я власник, переоформлення. люба перевірка на сто.торг присутній біля машини."
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_35076634.html,2024-12-16-14-09,12100, volkswagen jetta 2014, vi покоління (fl) • 1.8 tsi at (172 к.с.), vi покоління (fl) , 1.8 tsi at (172 к.с.),,2014,172,147,0,1,1,Київ,привозив до війни з сша як сімейне авто для себе і дівчини.останнє то було на 142тис - змінено масло та фільтра. до технічного стану питань немає.комплектація se.диски r17.питання за телефоном. реальному покупцю торг на місці. перевірки на сто - ок.
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_37479971.html,2024-12-16-14-09,12900, volkswagen jetta 2017, vi покоління (fl), vi покоління (fl),,,2017,-1,71,0,1,1,Дніпро (Дніпропетровськ),"продам vw jetta gli, заміна масла кожні 5 тис/км., нова підвіска з заниженням, мотор сток, механіка. поміняні фари ( нові), акумулятор. по машині нічого не треба робити."
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_37483763.html,2024-12-16-14-09,9000, volkswagen jetta 2014, vi покоління, vi покоління,,,2014,-1,195,1,1,1,Львів,"привіт друзі.продається ось така красуня volkswagen jetta 2014????????????.в хорошому стані має все для комфортної їзди????????????,також радує розходом,всі розхідники помінняні ходова обслужена,мотор 1,8 бензин дуже чуйний до педальки газу,пробігла ця красуня 190 тисяч,хороша резина.тож кого цікавить така красуня звертайтеся.ціна 9400.торгтакож цікавить обмін на кросовер,пропонуйте різні варіантителефонуйте на вайбер"
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_37611906.html,2024-12-16-14-09,8900, volkswagen jetta 2014, vi покоління (fl) • 2.0 aт (115 к.с.) • base, vi покоління (fl) , 2.0 aт (115 к.с.) , base,2014,115,128,1,1,1,"Львів, вул. Кульпарківська, 222/2","id30190даний автомобіль можна оглянути завітавши у наш автосалон, який знаходиться у м. львів по вул. кульпарківська 222.компанія бос авто пропонує такі послуги як:- кредит !- лізинг !- оплата криптовалютою !- доставка авто з сша, канади, європи !- перереєстрація авто на нового власника !- перевірка авто на сто !- продаж авто в кредит та лізинг !- оплата криптовалютою !- страхування !- обмін на авто !- тест-драйв !телефонуйте та наші менеджери з радістю нададуть відповідь на всі ваші запитання.чекаємо вас за адресою м. львів, вул. кульпарківська 222 наш графік роботи пн-пт – 10:00 год – 19:00 год. суб. – 10:00 год. – 18:00 год. нд. – 10:00 год. – 16:00 год."
,,,,,,,,,,,,,,,,,
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_37611248.html,2024-12-16-14-09,7500, volkswagen jetta 2013, vi покоління • 2.0 mpi mt (115 к.с.), vi покоління , 2.0 mpi mt (115 к.с.),,2013,115,265,1,1,1,Івано-Франківськ,без торгу
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_35982202.html,2024-12-16-14-09,7999,             volkswagen jetta 2011        , vi покоління , vi покоління ,,,2011,-1,260,1,1,1,Миколаїв,"   читаємо поважливо !!! торг біля капоту, тільки адекватним людям! по вин 2011, виїхала з салону в 2012 мотор коробка у відмінному стані, плавні перемикання без стусанів, мотор не димить, олія не жере. диски від мерседес, нові колодки. коробка автомат!! (6 ступка) каталізатори не вирізалися! гума зима! свіжий тонер по колу. електро підігрів дзеркал заднього виду електро регулювання дзеркал заднього виду. багажник місткий. олії/фільтру мінялис (свіже то) двигун 2.0 атмосфера, дуже надійний, і перевірений часом двигун. в обслуговуванні не дорога! машини на ходу кожен день. детальніше телефонувати  "
vw,jetta,https://auto.ria.com/uk/auto_volkswagen_jetta_36264495.html,2024-12-16-14-09,13500, volkswagen jetta 2019, vii покоління • 1.4 tfsi at (150 к.с.) • base, vii покоління , 1.4 tfsi at (150 к.с.) , base,2019,150,86,1,1,1,Львів,"86 000 км, 1.4 бензин 150 к.с., автомат, з канади, професійно відремонтовані пошкодження"
vw,passat,https://auto.ria.com/uk/auto_volkswagen_passat_37204277.html,2024-12-16-14-09,16100, volkswagen passat 2015, b8 • 2.0tdi dsg (150 к.с.), b8 , 2.0tdi dsg (150 к.с.),,2015,150,295,1,0,0,Дніпро (Дніпропетровськ),"авто повність обслужене, готове до перевірки на будь-якому сто.авто пригнане з німеччини з пробігом 150 000. пройдено велике то на 240 000 (додаткове заміна щеплення, встановлено новий акумулятор). авто на 100% в гарному стані. автомобіль частково покрито бронь плівкою бампер, капот, криша. в наявності два комплекта резини, в гарному стані (зима на металевих дисках 16 розміру, літо на 17 легкосплавні диски. в авто не палили. сімейне авто, використовували для дальніх подорожей багатодітною сім’єю. встановлено додатково сигналізація з функціями керування з мобільного телефону. всю додаткову інформацію відправлю в особисті повідомлення по запиту в вайбер, телеграм."
vw,passat,https://auto.ria.com/uk/auto_volkswagen_passat_37204545.html,2024-12-16-14-09,18000, volkswagen passat 2016, b8 • 2.0tdi dsg (150 к.с.) 4motion, b8 , 2.0tdi dsg (150 к.с.) 4motion,,2016,150,114,1,0,0,Тернопіль,"в україні перший власник (машина спочатку була оформлена на батька), наїздив по україні лише 15 тис.км. автомобіль брався для сімейних поїздок (для роботи та поїздок містом є ще два автомобіля). автомобіль повністю обслужений, все рідне, мінялось лише масло оригінальне, та грм з помпою. пробіг оригінальний, є вебасто. салон та руль як нова машина, їздив без накидок і не робив дітейлінг, мотор не митий, щоб бачили чи є якісь дефекти. фари full led. сидіння з пам'яттю та масажем. передні сидіння з електроприводом. передні вікна подвійні, що забезпесить вам додаткову шумоізоляцію. чудова машина, без жодних вкладень. готовий до любих перевірок."
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vw,passat,https://auto.ria.com/uk/auto_volkswagen_passat_36707168.html,2024-12-16-14-10,21499, volkswagen passat 2018, b8 • 2.0tdi dsg (150 к.с.) • premium r-line, b8 , 2.0tdi dsg (150 к.с.) , premium r-line,2018,150,149,1,0,0,Коломия • Івано-Франківська обл.,"свіжо пригнати авто з німеччини!можливий обмін ( ціна на обмін 25$ )-volkswagen passatн b8 r-line x2!-перша реєстрація авто 15.11.2018!- модельний рік 2019 !-комплектація r-line x2(зовнішній,та внутрішній)- 2 комплекта титанових дисків з ризиною ( літо , зима )-двигун 2.0tdi,110kw(150кс)!- 7ми ступенева коробка dsg dq381,3 двома мокрими щепленнями!-технічно в ідеальному стані;-кузов в рідному заводському окрасі (без підфарбувань)!!!-оригінальний пробіг 149тис.км !-обслуговуваннана на офіційному диллеріvolkswagen!- присутня вся сервісна історія,що підтверджується офіційним дилеромvolkswagen,також є всі роздруківки сервісів в фізичному вигляді!!!- full led оптика сама максимальна яка лиш може бути ,з функцією вирізання зустрічного транспорту;- присутні всі асистенти (тримання в смузі руху, запобігання зіткнення,розпізнавання пішоходів,розпізнавання дорожніх знаків,та в томи водія)-акустична система «dinaudio soundsystem» з сабвуфером;-віртуальна панель приладів «active info»display"" з функцією навігації ;-сенсорна мультимедіа""discover media pro"" з можливістю керування жестами;-камера задньго огляду;- apple car play та android auto ;-парктроніки передній,та задній;- підсвітка салону ""ambient lighting""- спортивний салон r-line,оздоблений шкірою""nappa"", з більш вираженою поперековою підтримкою;- напів електричне сидіння водія ergocomfort;- функція масажу сидіння водія ;- датчики сліпих зон;- підігрів дзеркал ;- підігрів передніх сидінь;-трьох зональний клімат контроль"" air careclimatronic""- активний круіз-контроль;- асестенти екстрерного гальмування ;- автоматичне складання дзеркал заднього огляду ;- функція автозатемнення дзеркал ;- заводське тонування ;- датчик світла ;- датчик дощу ;- aux, usb, bluetooh ;-розетка 220v!- легкосплавні диски r18 r-line(літня гума)- двійне скло ;- підрульові пелюстки ;та багато іншого , новий власник буде задоволений !!!всім миру та добра !!!!"
vw,passat,https://auto.ria.com/uk/auto_volkswagen_passat_36907421.html,2024-12-16-14-10,16300, volkswagen passat 2017, i покоління (fl)/nms, i покоління (fl)/nms,,,2017,-1,82,1,1,1,Кременчук • Полтавська обл.,"автомобіль в гарному стані, додаткових вкладень не потребує.перший власник з сша.автомобіль з мінімальними пошкодженнями і цілою безпекою!салон доглянутий після хімчистки.по кузову і технічно без зауважень.новий акумуляторпо комплектації:-чорний шкіряний салон-електро регулювання водійського сидіння-шкіряне мульти кермо-підігрів передніх сидінь-двозонний клімат контроль-круіз контроль-датчики мертвих зон-мультімедія з великим екраном-bluetooth aux usb cd-камера заднього огляду-датчик світла-led протитуманні фари-бортовий комп'ютер-центральний замок-диски r19пробіг 82.000т.км1vwdt7a39hc074051"
vw,passat,https://auto.ria.com/uk/auto_volkswagen_passat_34363891.html,2024-12-16-14-10,16900, volkswagen passat 2015, b8, b8,,,2015,-1,360,-1,0,0,Вінниця,"r-line 2.0 bitdi 4motion 176kwавтомобіль у відмінному технічному стані. пробіг оригінальний! замінений комплект грм. максимальна комплектація, чорна стеля! можливий торг біля авто!!!"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vw,passat,https://auto.ria.com/uk/auto_volkswagen_passat_37335059.html,2024-12-16-14-10,17300, volkswagen passat 2017, i покоління (fl)/nms, i покоління (fl)/nms,,,2017,-1,95,1,1,1,"Стрий, вул.Болехівська 47а","id27236можливий продаж в кредит та через криптовалюту.пропонуємо такі послуги:- доставка авто з сша, канади, європи;- перереєстрація авто на нового власника;- перевірка авто;- оформлення авто в кредит."
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_37489264.html,2024-12-16-14-10,6250, volkswagen polo 2011, v покоління, v покоління,,,2011,-1,205,0,0,1,Лубни • Полтавська обл.,газ євро 4. авто від власника по технічному паспорту. фарбоване 1 крило. зимова гума. є комплект літа на диска( за домовленістю) 2 комплекта ключів. тонування. кондиціонер. склопідіймачі. цепний двигун. новий акумулятор. все вчасно мінялось. авто офіційне не пригонка
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_37612523.html,2024-12-16-14-10,7000, volkswagen polo 2017, v покоління (fl), v покоління (fl),,,2017,-1,215,0,0,1,Суми,"продаю свой автомобиль технически полностью исправен вложений не требует стекло лобовое заменено есть небольшие сколы крашена полностью одна дверь все функции авто исправны кондиционер работает расход топлива не большой двигатель 1.2 турбо , обновленный на ременной передаче , масло не расходует авто на зимней резине 175/70/14 катализатор исправен прекрасный автомобиль на котором можно смело отправиться в путешествие на большое расстояние. цена казана !!!!! продажа не спешная !!"
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_37572724.html,2024-12-16-14-10,5300, volkswagen polo 2007, iv покоління (fl), iv покоління (fl),,,2007,-1,195,1,0,1,Київ,автомобіль в хорошому стані. робити нічого не потрібно. все працює в штатному режимі. по кузову без зауважень. автомат працює справно. територіально київ академмістечко
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_34686900.html,2024-12-16-14-10,10600, volkswagen polo 2019, v покоління (2nd fl) • 1.6 mpi mt (90 к.с.), v покоління (2nd fl) , 1.6 mpi mt (90 к.с.),,2019,90,169,0,0,1,Київ,продам фольцваген поло седан кінець 2019 року з офіційною історією обслуговування.
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_34716436.html,2024-12-16-14-10,7200, volkswagen polo 2011, v покоління, v покоління,,,2011,-1,150,0,0,1,Мукачево • Закарпатська обл.,
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_37011535.html,2024-12-16-14-10,7200, volkswagen polo 2016, v покоління (2nd fl) • 1.6 mpi mt (110 к.с.), v покоління (2nd fl) , 1.6 mpi mt (110 к.с.),,2016,110,180,0,0,1,Житомир,"газ/бензин, розхід 6-7л. не америка, в таксі не була. з документами порядок. площадкам не турбувати. в подарунок титанові диски."
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_37611818.html,2024-12-16-14-10,3499, volkswagen polo 2004, iv покоління • 1.4 mt (75 к.с) • base, iv покоління , 1.4 mt (75 к.с) , base,2004,-1,200,0,0,1,Умань • Черкаська обл.,"без корозіїтехнічно обслужена,грм нещодавно замінений.новий генераторксенонабсолютно нова резинаходова ідеальнапічка, кондиціонер працює.двигун не димить, працює рівно4 склопідйомника, центральний замок, встановлена хороша музикапереоформлення без проблем, 1 продаж"
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_36534865.html,2024-12-16-14-10,4891, volkswagen polo 2008, iv покоління (fl) • 1.2 mt (55 к.с) • base, iv покоління (fl) , 1.2 mt (55 к.с) , base,2008,-1,250,0,0,1,"Рівне, вул.Князя Володимира 109","шукаєте компактний, але водночас просторий і технологічний автомобіль? volkswagen polo 2008 — це саме те, що вам потрібно! ця доглянута машинка ідеальна як для міських поїздок, так і для далеких подорожей.без дтп! 2 ключа для вашого спокою та зручності. масло замінено всього 5 тис. км тому, а ходова повністю обслужена, тому авто повністю готове до нових викликів.вражає комфортом: просторий салон, підігрів передніх сидінь і парктроніки, які допоможуть легко паркуватися. і це ще не все! сучасні технології завжди під рукою: великий дисплей, android auto, bluetooth, usb і відмінна акустика зроблять кожну поїздку ще приємнішою.цей polo — не просто автомобіль, а ваш надійний супутник, готовий до пригод. поспішайте на тест-драйв, і ви не пошкодуєте!приходь на наш автомайданчик,де ти зможеш:- оглянути 150 авто та зробити тест-драйв;- обрати зручний вид оплати (готівкою; картою; криптовалютою);- скористатися послугою обміну та кредитом.ми - the best auto, вже 7 років займаємося доставкою автомобілів з сша та європи. понад 1000 власників є задоволені співпрацею з нами. і ти можеш стати одним із них! приїжджай і наші спеціалісти допоможуть тобі підібрати надійне авто!ти отримаєш:- індивідуальний підхід;- привітне та професійне обслуговування;- детальну інформацію про авто;- ремонт і технічний сервіс;- запашну каву і смачненьке до кави ;)приходь і ми подбаємо про твій комфорт, щоб покупка авто була для тебе приємною! :)"
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_37605380.html,2024-12-16-14-10,6300, volkswagen polo 2012, v покоління, v покоління,,,2012,-1,175,0,0,1,Сміла • Черкаська обл.,
vw,polo,https://auto.ria.com/uk/auto_volkswagen_polo_37611559.html,2024-12-16-14-10,11900, volkswagen polo 2018, v покоління (2nd fl) • 1.4 tsi dsg (125 к.с.) • comfortline, v покоління (2nd fl) , 1.4 tsi dsg (125 к.с.) , comfortline,2018,125,67,1,0,1,"Житомир, м. Житомир, вул. Київське шосе, 41","""екстер'єр- запасне колесо повнорозмірне, сталевий диск- протитуманні фари переднікомфорт- електропривід складання зовнішніх дзеркал- електропривід задніх склопідйомників- електропривід передніх склопідйомників- клімат-контроль, 1-зонний- мультифункціональне кермо- обігрів дзеркал заднього виду- підігрів передніх сидінь- механічне регулювання рульової колонки за висотою та вильото- eps - електропідсилювач керма- складувані спинки задніх сидінь в пропорції 60/40""""безпека- abs - антиблокувальна гальмівна система- trc - антипробуксовочна системаінтер'єр- оздоблення керма комбінованою шкіроюмультимедіа- aux + usb вход- підготовка під bluetooth™""автомобіль пройшов обов’язковий комплексний огляд та перевірку на авторизованій сервісній станції toyota, тому при купівлі автомобіля ви можете бути цілковито впевненими в його технічній справності. обираючи даний автомобіль з пробігом ви гарантовано отримуєте наступні переваги: легальність та чесність угоди; високий рівень якості передпродажної підготовки; технічне обслуговування автомобіля відповідно до високих стандартів якості toyota."
,,,,,,,,,,,,,,,,,
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_36264961.html,2024-12-16-14-10,29900, volkswagen tiguan 2020, i покоління • 2.0 tsi at (180 к.с.) • se, i покоління , 2.0 tsi at (180 к.с.) , se,2020,180,100,1,1,1,Чорноморськ (Іллічівськ) • Одеська обл.,"тільки приїхав, колеса 20, r-line, колеса r-20, кузов залитий керамікою, робив для себе!панорама люк!"
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_36771948.html,2024-12-16-14-10,18000, volkswagen tiguan 2014, i покоління (fl) • 2.0 tsi aт (200 к.с.) • r line, i покоління (fl) , 2.0 tsi aт (200 к.с.) , r line,2014,200,108,1,1,1,Балівка • Дніпропетровська обл.,"машина у чудовому стані! у використанні сім?єю 1.5року(пригнана з сша)з мінімальним пробігом на цей рік та з топ комплектацією r-line.додатково було зроблено жовті повороти та відкрито доп функція закриття та відкриття вікон та панорами з ключа,функція при запущеному двигуні зачинити двері (зимній).технічно машина справна,сів поїхав.велике то зроблене на 104тдзвоніть,питайте що цікавить все розповім)шановних перекупів прошу мене не турбувати."
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_36040714.html,2024-12-16-14-10,12500, volkswagen tiguan 2016, i покоління (fl), i покоління (fl),,,2016,-1,99,1,1,1,Запоріжжя,"авто в гарному стані, доглянута та обслужена, у ходу м'яка та комфортна, дорогу тримає чудово, зручна посадка. є підігрів сидінь, безключовий доступ, 4 склопідйомники, кондиціонер, шкіряний салон, реальному покупцю хороший торг"
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_37612317.html,2024-12-16-14-10,41000, volkswagen tiguan 2023, iii покоління • 2.0 tsi dsg (220 к.с.) 4motion • r-line, iii покоління , 2.0 tsi dsg (220 к.с.) 4motion , r-line,2023,220,9,1,0,1,"Тернопіль, вулиця Степана Будного, 18",офіційний автомобіль!!!покупка 2024 року на гарантіїстан нового авто 9 тис кмперед та всі вразливі місця в броні плівці 1200$—комплектація— highline 4motion 2.0 бензин 220кс*колір білий перламутр*distronic*масаж сидінь*алькантара оббивка салону*тримання смуги*мертві зони*повний привід*безключовий доступ старт стоп*камери кругового огляду 360*електро привід багажника*парк троніки перед зад*підігріви передніх та задніх сидінь та руля*навігація*led щиток*клімат контроль 4 зонний*карбонові вставки*багатоколірна підсвітка салону*iq led оптика автодальне*задні led фари*авто паркування*диски чорні rline r18 нові шини зимадодатково літні шини нові***можливий обмін на ваш автомобіль***можливо лізинг кредит usdt
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_37556545.html,2024-12-16-14-10,14900, volkswagen tiguan 2016, i покоління (fl), i покоління (fl),,,2016,-1,87,1,1,1,"Біла Церква, Сухоярська 11а","продаж за готівку або в лізинг | кредитавтомобіль у відмінному стані!замінено антифриз, масла в двигуні та коробці. має без ключовий доступ та запуск двигуна з кнопки старт-стоп. резина michelin нова .машина динамічна, легка та комфортна в управлінні.перший внесок від 4 500$термін від 6 до 36 місяцівавто знаходиться у вашому користуванні з першого дня!без довідок про доходи! тільки паспорт та кодз будь-якою кредитною історією!наша адреса:м. біла церква вул. сухоярська 18""авторинок""."
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_37612463.html,2024-12-16-14-10,16500, volkswagen tiguan 2017, i покоління (fl), i покоління (fl),,,2017,-1,172,1,1,1,Миколаїв,"авто в ідеальному стані. салон та кузов в збереженому стані. іржі та гнилі немає зовсім. обслуговувалась вчасно та оригінальні запчастини. що цікавить, детально розповім по телефону."
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_37612407.html,2024-12-16-14-10,26100, volkswagen tiguan 2017, ii покоління • 2.0 tdi dsg (190 к.с.) 4мotion • highline, ii покоління , 2.0 tdi dsg (190 к.с.) 4мotion , highline,2017,190,115,0,0,0,"Київ, проспект Степана Бандери 28",офіційний автомобіль. купувався і обслуговувався в офіційного диллера. сервісна книга. чудовий технічний і косметичний стан. без дтп і підфарбувань. на зимовій гумі + комплект літньої додається. два ключі.
vw,tiguan,https://auto.ria.com/uk/auto_volkswagen_tiguan_37612360.html,2024-12-16-14-10,19500, volkswagen tiguan 2019, ii покоління, ii покоління,,,2019,-1,82,1,1,1,Ізмаїл • Одеська обл.,"продам власний автомобіль. автомобіль в гарному візуальному та технічному стані. нічого робити не треба, сів поїхав. відновлена якісно, на оригінальні запчастини. повне то зроблено. обслуговування завжди вчасно. торг присутній."
